"","id","Feb1","Feb2","Feb3","Feb4","Feb5","Feb6","Feb7","Feb8","Feb9","Feb10","Feb11","Feb12","Feb13","Feb14","Feb15","Feb16","Feb17","Feb18","Feb19","Feb20","Feb21","Feb22","Feb23","Feb24","Feb25","Feb26","Feb27","Feb28","lon","lat"
"25",298,1.3,0.6,-1.4,-0.9,-3.9,-5.8,2.7,2.6,4.6,3.9,2.1,0.9,-0.9,0.5,2.4,0,0.4,4.1,4.3,3.1,4.7,2.8,2.2,3.8,1.9,3.4,3.3,2.9,12.7108,54.3406
"26",303,-0.1,0.9,0.2,-1.2,-1.2,-3.5,-1.8,1.6,3.6,4.9,4.5,-0.6,0.4,-0.3,1.1,0.6,1.4,3.1,1.4,3.8,5.6,0.9,1.7,3.8,2.4,1.2,2.3,3.3,13.4996,52.0614
"27",314,0.9,1,0.7,-2,-2.3,-3.1,-2.5,-0.1,1.9,3.3,2.8,1.1,1.8,1.6,3.5,0.1,2,1.8,1.6,2.8,4.8,2.9,3.4,5.2,3.5,3,4.4,2.5,14.5037,51.1605
"28",320,-1,-0.2,-2.3,-3.9,-4,-3.1,-4.9,-0.5,0.5,1.8,0.8,-0.9,-1.4,-1.9,-2.1,-0.5,-1.3,0.6,-1.6,1.7,2.3,1,0.3,2.7,1.1,0.3,1.6,2,11.5197,49.9667
"29",330,-0.7,-0.8,-2.5,-3.8,-4,-3.6,-4.2,-0.6,-0.2,1.2,0.1,-1.3,-0.8,0,-1.4,0,-1,-0.3,-1.7,2.6,2.9,1,0.2,2.2,2.4,3.7,2,1.5,8.9679,49.5617
"30",342,0.6,0.7,0.3,-2.2,-1.9,-2.1,-1.2,2.5,4.7,4.9,3.2,-0.7,2.2,4.4,0.3,1.7,1.3,1.9,1.9,4.2,3.7,2.5,3.1,3.9,4.3,6.1,4.3,2.9,8.1693,52.317
"31",377,1,0.8,-0.5,-1.2,-1.2,-1.2,-1.9,2.1,1.7,3.1,2,0.7,-0.4,1.5,-0.4,0.2,1,1.7,0.1,5,5.3,2.5,2.7,4.3,4.6,6,4.4,4.5,7.9963,49.1071
"32",390,-2.5,-2.1,-3,-5.2,-6,-5.1,-3.1,-1.7,0.6,0.9,-1,-2.4,-2.5,-0.7,0.2,-1.6,-1.1,-0.7,-3,0.7,1.2,-0.2,-0.7,0.3,1.2,1.5,0.2,-0.6,8.3679,50.9837
"33",400,1.3,1,-0.3,-1.2,-1.7,-4.1,-1.1,1.5,3.9,5.1,4.5,1.5,0.6,0.6,2.1,0.2,1.1,3.2,3.2,3.2,5.9,1.8,2.1,3.8,2.1,2.5,3.4,3.2,13.5022,52.6309
"34",403,0.8,0.7,-0.1,-1.1,-1.1,-3.5,-1.2,1.6,4,5,4.8,0.9,0.7,0.5,2.4,0.4,0.9,3.2,2.4,3.2,5.8,1.1,1.8,3.1,2,2.5,3.5,3.6,13.3101,52.4578
"35",410,0.4,0.8,-0.4,-1.2,-1.6,-3.7,-1.5,1.7,3.8,5,4.6,0.9,-0.2,-0.9,1.4,0.2,0.7,2.7,1.3,2.5,5.1,0.3,1.8,3,0.6,0.7,1.9,2.7,13.7309,52.404
"36",420,1.4,1.2,-0.1,-1,-1.2,-3.8,-0.9,1.6,4,5.2,4.7,1.4,1,1,2.4,0.2,1.3,3.5,2.8,3.3,5.8,1.9,2.1,4.1,3.3,3.2,4.1,3.8,13.5598,52.5447
"37",427,0.4,0.4,-0.3,-1.2,-1.8,-4,-2,1.6,3.9,4.9,4.6,0.3,0.8,0,1.7,0.3,1,2.9,1.7,2.8,5,0.9,1.7,3.3,2.5,2.1,3.3,3.4,13.5306,52.3807
"38",430,1.1,0.8,-0.1,-1.1,-0.8,-3.9,-1.3,1.7,4.1,5.2,4.9,1.8,1.3,1.5,2.6,0.6,1.2,3.2,3,3.7,6.2,2.2,2.4,3.9,3.1,3.6,4.4,4,13.3088,52.5644
"39",433,1.1,1.1,0.2,-0.9,-1.2,-3.4,-0.9,1.8,4.2,5.3,5.1,1.1,1.2,1.1,2.4,0.5,1.3,3.5,2.8,3.5,5.9,2.1,2,4,3.2,3.2,4.3,4.1,13.4021,52.4675
"40",445,-0.3,0.8,0.4,-1.3,-1.9,-4.2,-1.1,1.7,4.3,5.1,4,-0.5,1.8,1.2,0.2,1.9,0.2,2.9,1,3.8,4.7,1.5,1.5,3.2,2.9,3.1,3.1,2.9,11.7109,51.8218
"41",460,-0.3,-0.6,-2.3,-3,-3.7,-2.7,-2.4,1,0.8,2.1,1.6,-0.2,1.4,4.5,-0.1,-0.6,-0.2,1.6,-0.9,5.3,3.1,1.8,1.9,2.8,3.3,4.7,3.3,2.7,6.6868,49.264
"42",535,-0.9,-0.9,-2.3,-3.7,-4.7,-3.3,-3.4,0.3,1.2,1.7,0.8,-0.4,-0.6,1.4,-0.1,-0.4,-0.1,1.5,-1.7,4.6,2.4,1.4,1.5,2.1,2.5,4.1,2.6,1.2,7.3048,50.0355
"43",555,1.8,1.2,0.6,-0.6,-1.3,-1.3,0.2,3.3,4.5,5.1,2.7,1.7,4.8,7.5,3,2,2,2.5,1.7,5.4,4.1,3.4,3.6,4.1,4.5,6.2,4.9,4,7.2697,51.4789
"44",591,0.5,0.6,-0.9,-1.7,-0.8,-2.5,1,2.2,5.5,5.8,3.4,0.9,-0.3,1.3,1.8,0.8,0,3,2.5,3.6,4.3,2.9,2.6,3.6,3.4,4.2,2.7,2.6,10.6878,53.3911
"45",596,-1.4,0.4,-0.4,-0.5,0.5,-3.1,2.1,2.4,5.1,5.1,2.2,1.4,-0.3,0.9,2.2,0.9,0.4,3.4,3.1,3.3,4.4,3.1,2.5,3.5,3.2,4.7,2.7,2.6,11.1908,54.0028
"46",603,0.7,1.2,0.7,-1.1,-2.2,-0.9,-0.6,2.8,3.6,4.4,3,2.2,2.6,5.1,3.9,1.7,2.1,3.5,0.6,6.1,4.8,3.5,3.3,4.5,3.9,6,4.6,3.8,7.1931,50.7349
"47",617,1.6,1.1,0.9,-0.9,-1.1,-1,0.1,3.3,4.9,5.2,2.6,0.1,3.8,6.8,2.6,1.6,1.9,0.2,2,4.8,3.6,1.9,3.7,4.5,4.1,6.4,5,3.6,6.8862,51.8728
"48",656,-2.7,-2.6,-3,-5.3,-5.7,-6.1,-3.1,-2.9,1.1,1.4,-0.2,0.2,0.3,2.4,-0.9,0.6,-0.4,-0.1,-1.5,0.7,1.7,-0.5,-1,0.3,0,0.5,-0.1,-0.9,10.6021,51.7234
"49",662,0.6,1.3,0.2,-1.9,-2.2,-2.9,-1,1.8,4.6,5.1,3,0.4,0.4,2.6,0.7,2.3,1.4,3.2,1.8,4.9,5.7,2.8,2.9,4.2,4,4.3,3.1,3.2,10.4465,52.2914
"50",691,0.9,0.9,0.1,-1.5,-0.8,-1.2,0.8,3.4,5.9,6.1,4.5,1.5,2.4,3.9,2,2.3,0.7,1.8,2.1,4.2,4.3,2.9,3.7,4.1,4.4,6,4.7,2.8,8.7985,53.0445
"51",701,0.9,1.9,0.4,-0.5,-0.3,-1.4,1.9,3.7,4.8,4.7,4,2.2,2.5,3.8,2.1,2.4,1.5,1.9,2.3,3.6,3.5,2.7,3.8,4.1,3.9,6,4.7,3.7,8.5761,53.5332
